t,cam_center_x,face_x_asignada,distancia
0.0000,543.0,543.0,0.0
0.0333,543.0,542.8,0.2
0.0667,543.0,542.7,0.3
0.1000,543.0,542.5,0.5
0.1333,543.0,542.2,0.8
0.1667,543.0,541.8,1.2
0.2000,543.0,541.5,1.5
0.2333,543.0,541.8,1.2
0.2667,543.0,542.2,0.8
0.3000,543.0,542.5,0.5
0.3333,543.0,542.2,0.8
0.3667,543.0,541.8,1.2
0.4000,543.0,541.5,1.5
0.4333,543.0,541.8,1.2
0.4667,543.0,542.2,0.8
0.5000,543.0,542.5,0.5
0.5333,543.0,541.8,1.2
0.5667,543.0,541.2,1.8
0.6000,543.0,540.5,2.5
0.6333,543.0,540.5,2.5
0.6667,543.0,540.5,2.5
0.7000,543.0,540.5,2.5
0.7333,543.0,541.3,1.7
0.7667,543.0,542.2,0.8
0.8000,543.0,543.0,0.0
0.8333,543.0,543.0,0.0
0.8667,543.0,543.0,0.0
0.9000,543.0,543.0,0.0
0.9333,543.0,543.0,0.0
0.9667,543.0,543.0,0.0
1.0000,543.0,543.0,0.0
1.0333,543.0,543.0,0.0
1.0667,543.0,543.0,0.0
1.1000,543.0,543.0,0.0
1.1333,543.0,543.0,0.0
1.1667,543.0,543.0,0.0
1.2000,543.0,543.0,0.0
1.2333,543.0,543.0,0.0
1.2667,543.0,543.0,0.0
1.3000,543.0,543.0,0.0
1.3333,543.0,543.0,0.0
1.3667,543.0,543.0,0.0
1.4000,543.0,543.0,0.0
1.4333,543.0,543.0,0.0
1.4667,543.0,543.0,0.0
1.5000,543.0,543.0,0.0
1.5333,543.0,543.0,0.0
1.5667,543.0,543.0,0.0
1.6000,543.0,543.0,0.0
1.6333,543.0,543.0,0.0
1.6667,543.0,543.0,0.0
1.7000,543.0,543.0,0.0
1.7333,543.0,542.8,0.2
1.7667,543.0,542.7,0.3
1.8000,543.0,542.5,0.5
1.8333,543.0,542.2,0.8
1.8667,543.0,541.8,1.2
1.9000,543.0,541.5,1.5
1.9333,543.0,542.0,1.0
1.9667,543.0,542.5,0.5
2.0000,543.0,543.0,0.0
2.0333,543.0,542.8,0.2
2.0667,543.0,542.7,0.3
2.1000,543.0,542.5,0.5
2.1333,543.0,542.2,0.8
2.1667,543.0,541.8,1.2
2.2000,543.0,541.5,1.5
2.2333,543.0,541.5,1.5
2.2667,543.0,541.5,1.5
2.3000,543.0,541.5,1.5
2.3333,543.0,540.7,2.3
2.3667,543.0,539.8,3.2
2.4000,543.0,539.0,4.0
2.4333,543.0,540.5,2.5
2.4667,543.0,542.0,1.0
2.5000,543.0,543.5,0.5
2.5333,543.0,543.8,0.8
2.5667,543.0,544.2,1.2
2.6000,543.0,544.5,1.5
2.6333,543.0,547.2,4.2
2.6667,543.0,549.8,6.8
2.7000,543.0,552.5,9.5
2.7333,543.0,552.0,9.0
2.7667,543.0,551.5,8.5
2.8000,543.0,551.0,8.0
2.8333,543.0,551.7,8.7
2.8667,543.0,552.3,9.3
2.9000,543.0,553.0,10.0
2.9333,543.0,553.7,10.7
2.9667,543.0,554.3,11.3
3.0000,543.0,555.0,12.0
3.0333,543.0,551.7,8.7
3.0667,543.0,548.5,5.5
3.1000,543.0,545.2,2.2
3.1333,543.0,541.9,1.1
3.1667,543.0,538.7,4.3
3.2000,543.0,535.4,7.6
3.2333,543.0,532.1,10.9
3.2667,543.0,528.8,14.2
3.3000,543.0,525.6,17.4
3.3333,543.0,522.3,20.7
3.3667,543.0,519.0,24.0
3.4000,543.0,515.8,27.2
3.4333,543.0,512.5,30.5
3.4667,540.0,509.2,30.8
3.5000,537.0,506.0,31.0
3.5333,535.0,502.7,32.3
3.5667,533.0,499.4,33.6
3.6000,531.0,496.2,34.8
3.6333,529.0,492.9,36.1
3.6667,528.0,489.6,38.4
3.7000,526.0,486.3,39.7
3.7333,525.0,483.1,41.9
3.7667,523.0,479.8,43.2
3.8000,522.0,476.5,45.5
3.8333,518.0,473.3,44.7
3.8667,515.0,470.0,45.0
3.9000,511.0,466.7,44.3
3.9333,508.0,463.5,44.5
3.9667,505.0,460.2,44.8
4.0000,503.0,456.9,46.1
4.0333,500.0,453.7,46.3
4.0667,498.0,450.4,47.6
4.1000,496.0,447.1,48.9
4.1333,494.0,443.8,50.2
4.1667,493.0,440.6,52.4
4.2000,488.0,437.3,50.7
4.2333,484.0,434.0,50.0
4.2667,480.0,430.8,49.2
4.3000,477.0,427.5,49.5
4.3333,474.0,427.5,46.5
4.3667,471.0,427.5,43.5
4.4000,468.0,427.5,40.5
4.4333,465.0,430.7,34.3
4.4667,463.0,433.9,29.1
4.5000,461.0,437.1,23.9
4.5333,459.0,440.3,18.7
4.5667,457.0,443.5,13.5
4.6000,456.0,446.7,9.3
4.6333,454.0,449.8,4.2
4.6667,453.0,453.0,0.0
4.7000,451.0,456.2,5.2
4.7333,450.0,459.4,9.4
4.7667,449.0,462.6,13.6
4.8000,448.0,465.8,17.8
4.8333,447.0,469.0,22.0
4.8667,449.0,472.2,23.2
4.9000,451.0,475.4,24.4
4.9333,453.0,478.6,25.6
4.9667,454.0,481.8,27.8
5.0000,456.0,485.0,29.0
5.0333,457.0,488.2,31.2
5.0667,458.0,491.3,33.3
5.1000,459.0,494.5,35.5
5.1333,460.0,497.7,37.7
5.1667,461.0,500.9,39.9
5.2000,462.0,504.1,42.1
5.2333,466.0,507.3,41.3
5.2667,469.0,510.5,41.5
5.3000,472.0,513.7,41.7
5.3333,475.0,516.9,41.9
5.3667,477.0,520.1,43.1
5.4000,480.0,523.3,43.3
5.4333,482.0,526.5,44.5
5.4667,484.0,529.7,45.7
5.5000,486.0,532.8,46.8
5.5333,487.0,536.0,49.0
5.5667,489.0,539.2,50.2
5.6000,493.0,542.4,49.4
5.6333,497.0,545.6,48.6
5.6667,501.0,548.8,47.8
5.7000,504.0,552.0,48.0
5.7333,507.0,552.2,45.2
5.7667,510.0,552.3,42.3
5.8000,512.0,552.5,40.5
5.8333,515.0,552.2,37.2
5.8667,517.0,551.8,34.8
5.9000,519.0,551.5,32.5
5.9333,521.0,551.8,30.8
5.9667,522.0,552.2,30.2
6.0000,524.0,552.5,28.5
6.0333,525.0,552.8,27.8
6.0667,527.0,553.2,26.2
6.1000,528.0,553.5,25.5
6.1333,529.0,553.5,24.5
6.1667,530.0,553.5,23.5
6.2000,531.0,553.5,22.5
6.2333,532.0,553.2,21.2
6.2667,533.0,552.8,19.8
6.3000,533.0,552.5,19.5
6.3333,534.0,552.8,18.8
6.3667,535.0,553.2,18.2
6.4000,535.0,553.5,18.5
6.4333,536.0,553.3,17.3
6.4667,536.0,553.2,17.2
6.5000,537.0,553.0,16.0
6.5333,537.0,553.0,16.0
6.5667,538.0,553.0,15.0
6.6000,538.0,553.0,15.0
6.6333,538.0,553.3,15.3
6.6667,539.0,553.7,14.7
6.7000,539.0,554.0,15.0
6.7333,539.0,553.7,14.7
6.7667,539.0,553.3,14.3
6.8000,539.0,553.0,14.0
6.8333,540.0,553.0,13.0
6.8667,540.0,553.0,13.0
6.9000,540.0,553.0,13.0
6.9333,540.0,553.0,13.0
6.9667,540.0,553.0,13.0
7.0000,540.0,553.0,13.0
7.0333,541.0,553.0,12.0
7.0667,541.0,553.0,12.0
7.1000,541.0,553.0,12.0
7.1333,541.0,553.0,12.0
7.1667,541.0,553.0,12.0
7.2000,541.0,553.0,12.0
7.2333,541.0,553.0,12.0
7.2667,541.0,553.0,12.0
7.3000,541.0,553.0,12.0
7.3333,541.0,553.0,12.0
7.3667,541.0,553.0,12.0
7.4000,541.0,553.0,12.0
7.4333,541.0,553.0,12.0
7.4667,541.0,553.0,12.0
7.5000,542.0,553.0,11.0
7.5333,542.0,553.0,11.0
7.5667,542.0,553.0,11.0
7.6000,542.0,553.0,11.0
7.6333,542.0,553.0,11.0
7.6667,542.0,553.0,11.0
7.7000,542.0,553.0,11.0
7.7333,542.0,551.5,9.5
7.7667,542.0,550.0,8.0
7.8000,542.0,548.5,6.5
7.8333,542.0,548.5,6.5
7.8667,542.0,548.5,6.5
7.9000,542.0,548.5,6.5
7.9333,542.0,548.5,6.5
7.9667,542.0,548.5,6.5
8.0000,542.0,548.5,6.5
8.0333,542.0,548.5,6.5
8.0667,542.0,548.5,6.5
8.1000,542.0,548.5,6.5
8.1333,542.0,548.3,6.3
8.1667,542.0,548.2,6.2
8.2000,542.0,548.0,6.0
8.2333,542.0,548.2,6.2
8.2667,542.0,548.3,6.3
8.3000,542.0,548.5,6.5
8.3333,542.0,548.5,6.5
8.3667,542.0,548.5,6.5
8.4000,542.0,548.5,6.5
8.4333,542.0,548.7,6.7
8.4667,542.0,548.8,6.8
8.5000,542.0,549.0,7.0
8.5333,542.0,550.2,8.2
8.5667,542.0,551.3,9.3
8.6000,542.0,552.5,10.5
8.6333,542.0,551.0,9.0
8.6667,542.0,549.5,7.5
8.7000,542.0,548.0,6.0
8.7333,542.0,548.2,6.2
8.7667,542.0,548.3,6.3
8.8000,542.0,548.5,6.5
8.8333,542.0,548.2,6.2
8.8667,542.0,547.8,5.8
8.9000,542.0,547.5,5.5
8.9333,542.0,547.8,5.8
8.9667,542.0,548.2,6.2
9.0000,542.0,548.5,6.5
9.0333,542.0,548.5,6.5
9.0667,542.0,548.5,6.5
9.1000,542.0,548.5,6.5
9.1333,542.0,548.5,6.5
9.1667,542.0,548.5,6.5
9.2000,542.0,548.5,6.5
9.2333,542.0,548.5,6.5
9.2667,542.0,548.5,6.5
9.3000,542.0,548.5,6.5
9.3333,542.0,548.5,6.5
9.3667,542.0,548.5,6.5
9.4000,542.0,548.5,6.5
9.4333,542.0,548.5,6.5
9.4667,542.0,548.5,6.5
9.5000,542.0,548.5,6.5
9.5333,542.0,548.5,6.5
9.5667,542.0,548.5,6.5
9.6000,542.0,548.5,6.5
9.6333,542.0,548.5,6.5
9.6667,542.0,548.5,6.5
9.7000,542.0,548.5,6.5
9.7333,542.0,548.5,6.5
9.7667,542.0,548.5,6.5
9.8000,542.0,548.5,6.5
9.8333,542.0,548.5,6.5
9.8667,542.0,548.5,6.5
9.9000,542.0,548.5,6.5
9.9333,542.0,548.5,6.5
9.9667,542.0,548.5,6.5
10.0000,542.0,548.5,6.5
10.0333,542.0,548.5,6.5
10.0667,542.0,548.5,6.5
10.1000,542.0,548.5,6.5
10.1333,542.0,548.5,6.5
10.1667,542.0,548.5,6.5
10.2000,542.0,548.5,6.5
10.2333,542.0,551.0,9.0
10.2667,542.0,553.5,11.5
10.3000,542.0,556.0,14.0
10.3333,542.0,556.0,14.0
10.3667,542.0,556.0,14.0
10.4000,542.0,556.0,14.0
10.4333,542.0,556.0,14.0
10.4667,542.0,556.0,14.0
10.5000,542.0,556.0,14.0
10.5333,542.0,556.0,14.0
10.5667,542.0,556.0,14.0
10.6000,542.0,556.0,14.0
10.6333,542.0,556.0,14.0
10.6667,542.0,556.0,14.0
10.7000,542.0,556.0,14.0
10.7333,542.0,554.8,12.8
10.7667,542.0,553.5,11.5
10.8000,542.0,552.2,10.2
10.8333,542.0,551.0,9.0
10.8667,542.0,549.8,7.8
10.9000,542.0,548.5,6.5
10.9333,542.0,547.2,5.2
10.9667,542.0,546.0,4.0
11.0000,542.0,544.8,2.8
11.0333,542.0,543.5,1.5
11.0667,542.0,542.2,0.2
11.1000,542.0,541.0,1.0
11.1333,542.0,541.0,1.0
11.1667,542.0,541.0,1.0
11.2000,542.0,541.0,1.0
11.2333,542.0,542.8,0.8
11.2667,542.0,544.7,2.7
11.3000,542.0,546.5,4.5
11.3333,542.0,544.7,2.7
11.3667,542.0,542.8,0.8
11.4000,542.0,541.0,1.0
11.4333,542.0,540.8,1.2
11.4667,542.0,540.7,1.3
11.5000,542.0,540.5,1.5
11.5333,542.0,540.8,1.2
11.5667,542.0,541.2,0.8
11.6000,542.0,541.5,0.5
11.6333,539.0,504.3,34.7
11.6667,533.0,467.2,65.8
11.7000,525.0,430.0,95.0
11.7333,517.0,429.6,87.4
11.7667,510.0,429.2,80.8
11.8000,504.0,428.9,75.1
11.8333,498.0,428.5,69.5
11.8667,492.0,428.1,63.9
11.9000,487.0,427.7,59.3
11.9333,483.0,427.4,55.6
11.9667,478.0,427.0,51.0
12.0000,475.0,426.6,48.4
12.0333,471.0,426.2,44.8
12.0667,468.0,425.8,42.2
12.1000,465.0,425.5,39.5
12.1333,462.0,425.1,36.9
12.1667,459.0,424.7,34.3
12.2000,457.0,424.3,32.7
12.2333,455.0,424.0,31.0
